task_completion_rate,task_success_rate,task_attempt_rate,navigation_efficiency,path_directness,redundant_moves,average_task_duration,response_time_avg,response_time_consistency,room_exploration_rate,action_diversity,exploration_efficiency,sensor_activation_accuracy,temporal_pattern_similarity,casas_overall_similarity,effective_movement_ratio,oscillation_index,room_label_stability,semantic_understanding_score,log_file,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,vesper_navigation_log_20250902_143904.json,20250902_143904
0.0,1.0,1.0,0.8498365855987975,0.8498365855987975,0.9259259259259259,0.0,5.231744713253445,-0.5008954153949055,0.14285714285714285,0.07407407407407407,0.037037037037037035,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250902_150356.json,20250902_150356
0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.203256368637085,1.0,0.14285714285714285,1.0,1.0,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250908_184215.json,20250908_184215
0.0,1.0,1.0,1.0,1.0,0.6,0.0,3.187437057495117,0.7329509468011228,0.14285714285714285,0.4,0.2,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250908_184702.json,20250908_184702
0.0,1.0,1.0,0.8498365855987976,0.8498365855987976,0.7142857142857143,0.0,4.044494083949497,0.6976328899601918,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250908_202626.json,20250908_202626
0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.11926007270813,1.0,0.14285714285714285,1.0,1.0,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_184547.json,20250909_184547
0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.477412462234497,1.0,0.14285714285714285,1.0,1.0,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_184729.json,20250909_184729
0.0,1.0,1.0,1.0,1.0,0.6,0.0,3.577136754989624,0.9856238793137715,0.14285714285714285,0.4,0.2,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_184914.json,20250909_184914
0.0,1.0,1.0,0.9136250564655358,0.9136250564655358,0.8181818181818181,0.0,3.8782986294139516,0.7686821047825276,0.2857142857142857,0.18181818181818182,0.18181818181818182,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_190012.json,20250909_190012
0.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.0,3.5880110263824463,0.9803004403772007,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_190353.json,20250909_190353
0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.0,3.5933714310328164,0.995864684871901,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_190620.json,20250909_190620
0.0,1.0,1.0,0.8958064164776168,0.8958064164776168,0.8888888888888888,0.0,3.6713016827901206,0.969936209182911,0.42857142857142855,0.1111111111111111,0.16666666666666666,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_191053.json,20250909_191053
0.0,1.0,1.0,0.8768630958643938,0.8768630958643938,0.8666666666666667,0.0,3.826042985916138,0.8076971393896724,0.2857142857142857,0.13333333333333333,0.13333333333333333,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_191741.json,20250909_191741
0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.7777777777777778,0.0,3.8241455025143094,0.7516104515400924,0.14285714285714285,0.2222222222222222,0.1111111111111111,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_192446.json,20250909_192446
0.0,1.0,1.0,0.8768630958643938,0.8768630958643938,0.8666666666666667,0.0,3.628517198562622,0.9771735017164441,0.14285714285714285,0.13333333333333333,0.06666666666666667,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_192731.json,20250909_192731
0.0,1.0,1.0,0.920446751432272,0.920446751432272,0.8461538461538461,0.0,3.5892407710735617,0.9839561906647017,0.14285714285714285,0.15384615384615385,0.07692307692307693,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_193337.json,20250909_193337
0.0,1.0,1.0,0.7803133273813084,0.7803133273813084,0.8666666666666667,0.0,3.6486249128977457,0.9838737231119389,0.14285714285714285,0.13333333333333333,0.06666666666666667,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_193508.json,20250909_193508
0.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.0,3.5803380012512207,0.984177827016406,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_193941.json,20250909_193941
0.0,1.0,1.0,0.7905694150420949,0.7905694150420949,0.75,0.0,3.5977086424827576,0.9788284832443628,0.14285714285714285,0.25,0.125,0.1,0.0,0.05,1.0,0.0,1.0,1.0,vesper_navigation_log_20250909_194454.json,20250909_194454
