2025-10-18 00:31:53.583 I002 Stove OFF
2025-10-18 00:33:34.582 I005 BathroomSink1 OFF
2025-10-18 00:35:18.257 I001 Phone ON
2025-10-18 00:37:41.032 I001 Phone ON
2025-10-18 00:38:35.238 I003 DiningTable ON
2025-10-18 00:41:25.078 I005 BathroomSink1 ON
2025-10-18 00:38:12.991 I004 KitchenSink OFF
2025-10-18 00:42:19.192 I005 BathroomSink1 OFF
2025-10-18 00:42:30.173 I006 BathroomSink2 OFF
2025-10-18 00:47:05.651 I006 BathroomSink2 OFF
2025-10-18 00:41:35.784 I003 DiningTable ON
2025-10-18 00:40:04.576 I004 KitchenSink OFF
2025-10-18 00:40:00.324 I003 DiningTable OFF
2025-10-18 00:38:56.311 I005 BathroomSink1 OFF
2025-10-18 00:56:37.130 I006 BathroomSink2 OFF
2025-10-18 01:01:04.785 I005 BathroomSink1 OFF
2025-10-18 00:58:55.002 I001 Phone OFF
2025-10-18 01:02:46.719 I006 BathroomSink2 OFF
2025-10-18 00:51:11.198 I001 Phone OFF
2025-10-18 00:45:29.483 I003 DiningTable ON
