2025-10-18 07:39:58.319 I005 BathroomSink1 OFF
2025-10-18 07:41:57.656 I003 DiningTable OFF
2025-10-18 07:43:15.290 I004 KitchenSink OFF
2025-10-18 07:42:52.801 I003 DiningTable OFF
2025-10-18 07:44:19.147 I004 KitchenSink OFF
2025-10-18 07:48:06.266 I006 BathroomSink2 OFF
2025-10-18 07:45:08.800 I006 BathroomSink2 ON
2025-10-18 07:48:19.884 I002 Stove OFF
2025-10-18 07:50:36.327 I003 DiningTable ON
2025-10-18 07:52:46.593 I002 Stove OFF
2025-10-18 07:55:29.883 I001 Phone ON
2025-10-18 07:50:04.154 I001 Phone OFF
2025-10-18 07:49:06.122 I001 Phone OFF
2025-10-18 07:59:34.663 I003 DiningTable ON
2025-10-18 07:59:30.967 I002 Stove OFF
2025-10-18 07:53:34.352 I003 DiningTable OFF
