2025-10-18 13:52:43.954 I006 BathroomSink2 OFF
2025-10-18 13:54:28.431 I005 BathroomSink1 ON
2025-10-18 13:54:41.213 I001 Phone ON
2025-10-18 13:56:02.355 I002 Stove OFF
2025-10-18 13:59:18.990 I004 KitchenSink ON
2025-10-18 13:59:59.881 I002 Stove OFF
2025-10-18 13:58:02.627 I005 BathroomSink1 ON
2025-10-18 14:01:36.469 I004 KitchenSink ON
2025-10-18 14:05:34.280 I001 Phone ON
2025-10-18 13:58:43.550 I004 KitchenSink ON
2025-10-18 14:12:09.707 I005 BathroomSink1 OFF
2025-10-18 14:00:33.391 I002 Stove ON
2025-10-18 14:14:54.040 I004 KitchenSink ON
2025-10-18 13:59:15.159 I003 DiningTable OFF
2025-10-18 14:15:42.388 I003 DiningTable ON
2025-10-18 14:04:06.475 I003 DiningTable ON
