2025-10-18 07:10:55.585 I003 DiningTable OFF
2025-10-18 07:11:56.464 I004 KitchenSink ON
2025-10-18 07:13:31.567 I005 BathroomSink1 OFF
2025-10-18 07:14:47.755 I006 BathroomSink2 OFF
2025-10-18 07:13:08.427 I004 KitchenSink OFF
2025-10-18 07:15:39.726 I001 Phone OFF
2025-10-18 07:19:23.915 I001 Phone OFF
2025-10-18 07:19:29.099 I005 BathroomSink1 OFF
2025-10-18 07:23:22.537 I001 Phone OFF
2025-10-18 07:17:37.169 I004 KitchenSink OFF
2025-10-18 07:23:52.864 I005 BathroomSink1 OFF
2025-10-18 07:31:07.479 I002 Stove ON
2025-10-18 07:24:31.319 I005 BathroomSink1 OFF
2025-10-18 07:19:28.301 I004 KitchenSink OFF
2025-10-18 07:22:22.966 I004 KitchenSink OFF
2025-10-18 07:34:48.782 I002 Stove ON
