2025-10-17 23:15:45.798 I005 BathroomSink1 OFF
2025-10-17 23:17:17.613 I003 DiningTable OFF
2025-10-17 23:17:01.231 I002 Stove OFF
2025-10-17 23:21:43.963 I001 Phone ON
2025-10-17 23:19:40.688 I004 KitchenSink OFF
2025-10-17 23:18:46.638 I002 Stove OFF
2025-10-17 23:25:30.978 I003 DiningTable ON
2025-10-17 23:24:26.278 I002 Stove OFF
2025-10-17 23:25:39.648 I001 Phone OFF
2025-10-17 23:21:26.357 I002 Stove ON
2025-10-17 23:34:49.835 I004 KitchenSink ON
2025-10-17 23:25:00.406 I001 Phone OFF
2025-10-17 23:30:54.958 I006 BathroomSink2 ON
2025-10-17 23:40:23.221 I004 KitchenSink ON
2025-10-17 23:42:37.543 I001 Phone ON
2025-10-17 23:40:13.520 I001 Phone ON
2025-10-17 23:24:41.307 I006 BathroomSink2 ON
2025-10-17 23:39:23.138 I002 Stove OFF
2025-10-17 23:37:10.329 I004 KitchenSink OFF
2025-10-17 23:29:11.235 I004 KitchenSink ON
2025-10-17 23:48:27.479 I001 Phone OFF
2025-10-17 23:40:59.555 I004 KitchenSink OFF
2025-10-17 23:46:41.780 I002 Stove OFF
2025-10-17 23:27:48.092 I006 BathroomSink2 OFF
2025-10-17 23:57:31.165 I001 Phone OFF
2025-10-17 23:42:19.146 I001 Phone ON
2025-10-17 23:56:18.514 I001 Phone OFF
