2025-10-18 01:35:22.642 I004 KitchenSink ON
2025-10-18 01:36:19.947 I001 Phone ON
2025-10-18 01:37:38.654 I005 BathroomSink1 ON
2025-10-18 01:38:17.967 I006 BathroomSink2 ON
2025-10-18 01:40:19.488 I003 DiningTable ON
2025-10-18 01:44:20.488 I006 BathroomSink2 ON
2025-10-18 01:38:48.909 I006 BathroomSink2 OFF
2025-10-18 01:41:01.741 I003 DiningTable OFF
2025-10-18 01:43:13.233 I005 BathroomSink1 ON
2025-10-18 01:48:19.016 I006 BathroomSink2 OFF
2025-10-18 01:52:34.143 I006 BathroomSink2 OFF
2025-10-18 01:53:04.942 I006 BathroomSink2 ON
2025-10-18 01:55:19.878 I005 BathroomSink1 OFF
2025-10-18 01:44:31.322 I005 BathroomSink1 ON
2025-10-18 01:53:41.654 I001 Phone OFF
2025-10-18 01:58:37.044 I001 Phone OFF
2025-10-18 01:48:05.937 I003 DiningTable ON
2025-10-18 01:57:55.549 I001 Phone OFF
2025-10-18 01:47:18.583 I003 DiningTable ON
